Mobile_cellular_subscriptions_total_number,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Antigua-and-Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,1400,1500,8500,22000,25000,38205,46100,54000,86000,110177,112381,136592,134925,167970,162773
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,12000,25000,46590,112000,241163,405395,667020,2009073,2670862,3848869,6487950,6741791,6566740,7842233,13512383,22156426,31510390,40401771,46508774,52482780,53700000,55000000
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922,2020,2600,2401,0,4100,4948,6200,8072,15911,31524,60555,121759,122228,186007,227771,252987,373999,358050,358812,428377,298790
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,796,1560,2967,4614,6283,8013,12000,20309,28467,53111,97193,140000,200138,206190,237119,257596,288662,337061,350061,347917
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,832,1547,2184,2544,3535,6591,16812,39155,51729,60403,75000,96000,118000,118314,160032,161783,194201,203050
Costa-Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3008,4533,6985,18750,46531,64387,108770,138178,211614,326944,502478,778299,923084,1101305,1443717,1508219,1886570,1950318,3035007,4358127
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,500,1152,1939,2427,2994,4056,5136,6536,8579,17851,35356,75797,135534,152715,198252,331736,621156,1003015,1315141
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,556,650,800,1200,7710,12173,23786,41838,52000,71500,89000,91000,98500,105567,111000
El-Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632,4868,13475,23270,40163,137114,511365,743628,857782,888818,1149790,1832579,2411753,3851611,6137381,6950703,7566245,7700336,7837000
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,147,181,282,350,400,570,976,1410,2012,4300,6414,7553,42293,43313,46858,46193,51381,60022,114424,121946,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,1221,2141,2990,10462,29999,43421,64194,111445,337800,856831,1146441,1577085,2034776,3168256,4510067,7178745,11897563,14948640,17307459,18067970,20715677
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,25000,55000,91500,140000,320000,400000,500200,1200000,2500000,3200000,3648000,4000000,4200000
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2311,14427,34896,78588,155271,237629,326508,379362,707201,1281462,2240756,4184834,6210711,8390755,9505071,8062229
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2447,7628,15221,26106,45138,54640,65995,78624,144388,366952,597826,1244976,1576360,1837552,1981464,2274650,2684331,2723323,2956061,3181995,2974715
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,2183,4400,5100,7560,18310,44229,90294,164509,237248,466706,738624,1119379,1830220,2502281,3108002,3344563,3962247,4822221
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,23474,85883,232888,410401,475141,525845,692406,1259948,1748740,2174451,3010635,3915246,6066683,6646348,7281074
